,moniker,operator_address,consensus_pubkey,self_delegator_address,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,pre_commits
10,strangelove-ventures,osmovaloper1r2u5q6t6w0wssrk6l66n3t2q3dw2uqny4gj2e3,osmovalconspub1nfnppxmfcz0t2z3tj2xukl29p90k2pxf0h72syv44chsdjrly4cqx45hxs,osmo1r2u5q6t6w0wssrk6l66n3t2q3dw2uqny0l6fwk,0.0,178503000000.0,1047977610646.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,0.5,1.0,49653
11,artifact,osmovaloper1rhjvcesshc833dqwdlwskwcjz08gcnxq73dnqc,osmovalconspub1dsuaf3uafc99xxsx8defcnw39esfh5nff7tyd93d2epsv6kz64rs93qsyd,osmo1rhjvcesshc833dqwdlwskwcjz08gcnxqyx9shl,0.0,2731992992.0,166268961227.0,1.0,1.0,0.0,0.0,0.0,0.05,0.2,0.02,1.0,49876
12,Staky.io,osmovaloper1rmdzkje2eh34fgerdq75lwgzy44u43erqdnnh3,osmovalconspub1snzyuqyp0w4k2leeyr3fyzhd66hehqdxc6th937ewlrdefp9jeuq0usxuy,osmo1rmdzkje2eh34fgerdq75lwgzy44u43er66msqk,0.0,4000000.0,56545973994.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.05,1.0,48042
13,Swiss Staking,osmovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww24nrlnx,osmovalconspub19ss2mcpq22hypm6gx8trq8h002tpnckv9z44qd9vafnyfn37vwns2kag0y,osmo1y0us8xvsvfvqkk9c6nt5cfyu5au5tww20ytuyp,0.0,10000000.0,119196406064.0,1.0,1.0,1.0,0.0,1.0,0.05,0.25,0.025,1.0,48957
14,fissionlabs,osmovaloper1y6y38g5pxcu3ca2v8merufs9eagnqd9u2yf5ng,osmovalconspub1ewjxe9gpvzggpazh4lprq3mlrqd24y9wfetk8na4walmga6qh23s4mhhqf,osmo1y6y38g5pxcu3ca2v8merufs9eagnqd9usnphy0,0.0,1789648506.0,117725092589.0,1.0,0.0,1.0,1.0,0.0,0.1,0.2,0.01,1.0,49867
15,Validatus,osmovaloper19v94c3z7ckarwsum76kaagma0wqsqhh54xucdk,osmovalconspub1tzkx9zp8ql59k8n3s3a7pee75dtltcvahlh2lfxvnwpahhz3965sskyj2u,osmo19v94c3z7ckarwsum76kaagma0wqsqhh5035m63,0.0,110000000.0,199789336020.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.1,100.0,49813
16,syncnode,osmovaloper19j2hd230c3hw6ds843yu8akc0xgvdvyu4arf82,osmovalconspub1dasd2dqjavs9tezrtat9uehnj4p2r7ky9vz6fxxkeus537g9znrq7uxuhd,osmo19j2hd230c3hw6ds843yu8akc0xgvdvyu02t2sd,3.0,41795000000.0,57036529290.0,1.0,1.0,1.0,0.0,1.0,0.05,0.9,0.05,1.0,49875
17,SG-1,osmovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcmmarz7,osmovalconspub1le8d0uvppcfhrm2y9a634tmttgwu5awex6tvucxfu5fctx82uqaq3fzfq3,osmo196ax4vc0lwpxndu9dyhvca7jhxp70rmcpv4q4e,2.0,49100000000.0,2312963015180.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.05,1.0,45452
18,Cephalopod Equipment Corp,osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,osmovalconspub1v8wezcrustggm3klsexfthntk00pacfwf02nn4ngzrdqezrp555qvxclut,osmo1x20lytyf6zkcrv5edpkfkn8sz578qg5saxene9,1.0,100000000.0,1142086356318.0,1.0,1.0,1.0,1.0,1.0,0.0811,0.42,0.0118,100000.0,49522
19,iqlusion,osmovaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03x7uy20c,osmovalconspub1ljvl55tazp2k2n42uysw29v5cny3g37y8463e88wpyntlhvrqj2qtspqec,osmo1grgelyng2v6v3t8z87wu3sxgt9m5s03xytvfcl,0.0,10000000000.0,465581424283.0,1.0,1.0,1.0,0.0,0.0,0.07,0.2,0.01,10000000000.0,45619
20,Provalidator,osmovaloper1gy0nyn2hscxxayj2pdyu8axmfvv75nnvhc079s,osmovalconspub19nj35rf5k3sefw7s0rqu906qgh4dwvtk6lz98mztzsuwacmxqtcqyhtm3z,osmo1gy0nyn2hscxxayj2pdyu8axmfvv75nnvd08ajh,0.0,1000000.0,1148977157492.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.1,1.0,49775
21,Lavender.Five Nodes,osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n,osmovalconspub12kvr4pfq6xg60pr2cn7sde30lk34p46ydqkv0ycnq73twg54x6ls5wvg3e,osmo1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqer3hf5,4.0,20900000.0,199375674179.0,1.0,1.0,1.0,1.0,1.0,0.05,0.1,0.05,1.0,49780
22,Simply Staking,osmovaloper1feh2keupglep6mvxf5c96eulh3puujjryj2h8v,osmovalconspub1wn5ndf2v64j840pyxaerfvajr3lkf74uha00ce0dmlhkv27czdpq9ex7sh,osmo1feh2keupglep6mvxf5c96eulh3puujjr79z5st,0.0,21000000000.0,92371350277.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1000000.0,49873
23,Plural,osmovaloper1f6taewxze2sxang7293dff6qju4r4uwg7znp6j,osmovalconspub1gjsdwruudplqy79xd3lnuf9nep0x2xmylxxr6asx5hvq4ak209ds76z4xr,osmo1f6taewxze2sxang7293dff6qju4r4uwgy4mzd4,0.0,1000000.0,56429388675.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,1.0,1.0,49852
24,OmniFlix Network,osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,osmovalconspub16dz5dwv3gpu7nelajl72mz5d5vxff8fue73heh9m7t92d5vgn36szllq8k,osmo12zwq8pcmmgwsl95rueqsf65avfg5zcj00f5mea,0.0,6730000000.0,508012611820.0,1.0,1.0,1.0,0.0,1.0,0.05,0.5,0.1,1.0,49160
25,Stakecito,osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,osmovalconspub157a7cqnggq499glvcwvpx8j8kaphfsrtntgwnal9dntwatw7zc0qkdn5ls,osmo12rzd5qr2wmpseypvkjl0spusts0eruw2jxuup5,3.0,10000000.0,888182079918.0,1.0,1.0,0.0,0.0,1.0,0.05,0.2,0.02,1.0,49794
26,0% to 2023 | Fee Recovery,osmovaloper122yaxffys6rmv03nwwkmn3rvr5skzxl9lry2a5,osmovalconspub1ward65znax35rcvk9ye3e9g396pp002gjsf08dhj4cyfmjx0e02sf836dt,osmo122yaxffys6rmv03nwwkmn3rvr5skzxl995vf2n,0.0,1000000.0,52620195249.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49876
27,B-Harvest,osmovaloper123nfq6m8f88m4g3sky570unsnk4zng4u6mkmvq,osmovalconspub15xaz9h7kjhpjd2wmvxx3yualc4wl62hmlml83ky54n49cvwslmhq6zdsu5,osmo123nfq6m8f88m4g3sky570unsnk4zng4uqv7cm8,5.0,1022000000.0,1191951596148.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49754
28,Coverlet,osmovaloper1273zsxhxd5dlgcr2zjf5x25275hjcp3udgkz9z,osmovalconspub133kasw8ue0zy8fnu9kcn0j434tghuq6jqch0na05ppfmu99x52lsxexu0y,osmo1273zsxhxd5dlgcr2zjf5x25275hjcp3uhl7pj9,0.0,37129642336.0,54912927300.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.1,1.0,49870
29,Imperator.co,osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,osmovalconspub1sx5hrcyn0v2m33w6cucj50fwacwknsx58umj8mhh4tsjr6hxpw4s6en5vd,osmo1t8qckan2yrygq7kl9apwhzfalwzgc242lk02ch,1.0,25010000000.0,1252382984527.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,48426
30,wosmongton,osmovaloper1thsw3n94lzxy0knhss9n554zqp4dnfzx78j7sq,osmovalconspub18ra3n8h57twj7a9vpujt7c2szz5ctzsyulnprhgz3f6234nqx5msalgccm,osmo1thsw3n94lzxy0knhss9n554zqp4dnfzxys6a88,0.0,3000000.0,2984643255409.0,1.0,1.0,0.0,0.0,1.0,0.05,0.2,0.01,1.0,49189
31,BasBlock,osmovaloper1vzcxcv9v4cymknqyj8a7qqp45apt7kyrvuwhxr,osmovalconspub1x5n547c6pm0gredqk4mwd0ljz62y6k06t7x8ajnxuclfrrjv0qts92y4cn,osmo1vzcxcv9v4cymknqyj8a7qqp45apt7kyrktx53y,0.0,6711407417.0,182433397057.0,1.0,1.0,0.0,0.0,0.0,0.05,0.5,0.1,1000000.0,28785
32,Zero Knowledge Validator (ZKV),osmovaloper1v5y0tg0jllvxf5c3afml8s3awue0ymjusax93d,osmovalconspub1fzy2wz07qc4xh2smtw6dg3jze03u6clhlmevggelpjn3ke4yjg8sgstuwg,osmo1v5y0tg0jllvxf5c3afml8s3awue0ymju22wxx2,0.0,179000000.0,422019060102.0,1.0,1.0,1.0,1.0,1.0,0.07,1.0,0.05,1.0,49694
33,blitz,osmovaloper1vkfmegxrsveefn2wmudh7apxuzu2n77654ad62,osmovalconspub1z42de3g8jppvuqnmzyny3dtyxpd0rfvy32lmk68wkwwewram0g7sqws4er,osmo1vkfmegxrsveefn2wmudh7apxuzu2n776wz4wdd,0.0,2000000.0,112069694890.0,1.0,0.0,1.0,0.0,1.0,0.06,0.2,0.1,1.0,49725
34,samurai,osmovaloper1dpwecca283m0c20dmsfzztp4mma8h9ajxwvx52,osmovalconspub1qastfvqv9jnfyd6gewltz3d9qxhdtphc2ep7e307a8derp3h82zswjg8vg,osmo1dpwecca283m0c20dmsfzztp4mma8h9ajuey9rd,0.0,1708188047.0,68601607911.0,1.0,0.0,0.0,0.0,1.0,0.05,0.2,0.01,1.0,48914
35,BR Labs,osmovaloper1dgpzuja328gtv8pwvz5k8geqwpqxc35h69suf8,osmovalconspub1c77a8uk9aug3yaeun3l58fcf0gsw0ftalw70gpwzzqf8xryjd6estvd4d6,osmo1dgpzuja328gtv8pwvz5k8geqwpqxc35hqjcl7q,0.0,1000000.0,87468782480.0,1.0,1.0,1.0,0.0,1.0,0.05,0.25,0.01,1.0,49511
36,Witval,osmovaloper1ddle9tczl87gsvmeva3c48nenyng4n56yscals,osmovalconspub1h25xjl9wrfnuxxjv9uvug033scrjqhps57fgu8nh4nz8w0hrph4ssy2ua5,osmo1ddle9tczl87gsvmeva3c48nenyng4n5678s7gh,0.0,26000000000.0,382124534009.0,1.0,1.0,1.0,0.0,1.0,0.05,0.15,0.02,1.0,49197
37,Validating Chaos,osmovaloper1d4pn8f3q5dn0g4uwr2egh5mgzrnf7fhh53tuu4,osmovalconspub17qdhsn9kcvtdy754l38mzfl9nalhx6dqs3cunmn5dsv6rsg4amqqxsrs3q,osmo1d4pn8f3q5dn0g4uwr2egh5mgzrnf7fhhwxrltj,2.0,1312042069.0,724387042124.0,1.0,1.0,0.0,0.0,0.0,0.05,1.0,0.01,1.0,49875
38,kytzu,osmovaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vpxy9qu6,osmovalconspub1ql5rafkmsf0yv67mfpk34l733q6qf849utdu2g7z3kp323c7xu4sfu82w2,osmo1wtv0kp6ydt03edd8kyr5arr4f3yc52vpundrta,5.0,26900000000.0,56930498380.0,1.0,1.0,1.0,0.0,1.0,0.1,0.2,0.01,1.0,49879
39,AUDIT.one,osmovaloper1w4x44ek799hvg97x0mfwu6gg5dww2r8fdpqql4,osmovalconspub1rrukkay7w07yd4mdg2wd7ysugflckw2d2359ufx2fmp8aaafsjvqry86du,osmo1w4x44ek799hvg97x0mfwu6gg5dww2r8fhkgrgj,0.0,1000000.0,152364257358.0,1.0,1.0,1.0,0.0,1.0,0.07,0.2,0.01,1.0,49755
40,Cat Boss,osmovaloper1wke3ev9ja6rxsngld75r3vppcpet94xxwcmk4v,osmovalconspub1zut6dgq0prvpglh8eg5rcglepcrm2j2wv7jpty3ahaehrs9dsr9satm202,osmo1wke3ev9ja6rxsngld75r3vppcpet94xx50n4zt,1.0,1000000.0,86299995176.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,1.0,1.0,49697
41,mp20,osmovaloper1whdjuaspv2y3v02pjywncs7xmzpeudkfg9ukjw,osmovalconspub1hh3hw2p4vyypsr9myc6y8m7gatdrk9aakgwusqqxvxsmfyw2vvyqfec8ca,osmo1whdjuaspv2y3v02pjywncs7xmzpeudkfjj549f,0.0,10000000.0,55537840000.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,0.02,1.0,48666
42,DSRV,osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,osmovalconspub1zna9jcjkjlt83hry6hf0jmffqfka4w864qusa8njsev8c3gpw72szgmzms,osmo1wlagucxdxvsmvj6330864x8q3vxz4x02w5t72a,0.0,1000000.0,440300122222.0,1.0,1.0,1.0,1.0,1.0,0.1,0.2,0.05,1.0,48203
43,AC Validator 🚀,osmovaloper10rsjwrcj7maz4f0l8dh3smjd022n9ya8ycuyg7,osmovalconspub1464n8h8kh87qd6g2uszz2jtlng023nmq07vmjfeya3w42duqj9pstgcllq,osmo10rsjwrcj7maz4f0l8dh3smjd022n9ya87058le,2.0,1000000.0,129511323238.0,1.0,1.0,1.0,0.0,1.0,0.05,0.5,0.5,1.0,49785
44,Chandra Station ,osmovaloper10ymws40tepmjcu3a2wuy266ddna4ktas0zuzm4,osmovalconspub177gucrtwwnf6kty8n5xnhtt2f9u0mcv6j9wx0d2d4m72kthwaxwsyk374k,osmo10ymws40tepmjcu3a2wuy266ddna4ktas445pvj,2.0,1000000.0,1142042909745.0,1.0,1.0,1.0,0.0,1.0,0.05,0.1,0.01,1.0,49871
45,notional,osmovaloper1083svrca4t350mphfv9x45wq9asrs60c6rv0j5,osmovalconspub1wayyuhhsesw7zecgf8tx6fhh42l74lyyley9fgxvl86hlte6ccnsg6ujhn,osmo1083svrca4t350mphfv9x45wq9asrs60cq5yv9n,1.0,25936000000.0,597254249512.0,1.0,1.0,1.0,0.0,1.0,0.0969,0.2,0.01,1.0,49738
46,ztake.org,osmovaloper102ruvpv2srmunfffxavttxnhezln6fncrdjd27,osmovalconspub1nss0hs5svp58nwgfxvhmz6hgu9h5urnt7w7te6v93gyqyeyku50s47mfa6,osmo102ruvpv2srmunfffxavttxnhezln6fnce66wae,0.0,12312052094.0,219244738161.0,1.0,1.0,1.0,0.0,1.0,0.07,1.0,1.0,1.0,49865
47,Staking Fund,osmovaloper1000ya26q2cmh399q4c5aaacd9lmmdqp9cwpvl4,osmovalconspub1353502gg0xah64l982yat554w3vpu9zc5x4r8ls025kmarn90vuqd5mj6y,osmo1000ya26q2cmh399q4c5aaacd9lmmdqp9zef0gj,2.0,6070800000.0,153194016479.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.2,1.0,49864
48,commercio.network,osmovaloper103s29j7dyc3utljce802m38p2kk89taj0r2hxa,osmovalconspub1r3k75uswx25zeegydex6nz6edyf264572c5ucec3xsv67svnyenqhz00vd,osmo103s29j7dyc3utljce802m38p2kk89taj45z536,0.0,1000000.0,345989053549.0,1.0,1.0,1.0,0.0,1.0,0.05,0.3,0.02,1.0,49756
49,NosNode🧪🧿,osmovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxgzgh4c,osmovalconspub164uwqx3t7vz0ses9tqqafcs95el0xz4ur3xcd85m9w7gxx2pyngqtcmmay,osmo10jm8fvdyqlj78w0j5nawc76wsn4pqmdxj4q5zl,4.0,16266902675.0,411044610314.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.05,1.0,49874
50,e-Money.com // validator.network,osmovaloper1sxx9mszve0gaedz5ld7qdkjkfv8z992a3z2szp,osmovalconspub1hy2s8ng80y7w4ellu02t5d836q4lqwatr8rtcdpssyyhyq2xpr2s2vaf9m,osmo1sxx9mszve0gaedz5ld7qdkjkfv8z992at4zn4x,3.0,13350000000.0,388979875293.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,1.0,1000000.0,44662
51,dimi 🦙,osmovaloper1s33zct2zhhaf60x4a90cpe9yquw99jj0x8t08z,osmovalconspub1u2s34qfegthwysh0puuva79tamv722ea7sqt6qesnh4d97dge55q528kzs,osmo1s33zct2zhhaf60x4a90cpe9yquw99jj0usrvs9,2.0,9307000000.0,131319634126.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.1,1.0,49327
52,🐠stake.fish,osmovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9ua8h4lf,osmovalconspub1ps3xra6n42ra87l2qcpw7kj9fvmhgucea753pun84l8jc4jlszcs0a92m2,osmo1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u8slkgw,0.0,6000000.0,645910821855.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49513
53,blockscape,osmovaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwpuclc8,osmovalconspub10qrcq59fe77xckl2zygwzhrn2nhm5ett72486n5wmnqcatxp9v2qmmlqjh,osmo13x77yexvf6qexfjg9czp6jhpv7vpjdwwmtsu0q,0.0,28090128741.0,155310141557.0,1.0,1.0,1.0,0.0,1.0,0.1,0.2,0.01,1.0,49804
54,bro_n_bro,osmovaloper13tk45jkxgf7w0nxquup3suwaz2tx483xe832ge,osmovalconspub1vacrglpfrg5360d77rf778tuyd3pencm6kj7ee9slfkxxg44nanqja3s5g,osmo13tk45jkxgf7w0nxquup3suwaz2tx483xrsefl7,5.0,210000000.0,97527871781.0,1.0,1.0,1.0,0.0,1.0,0.05,0.3,0.01,1.0,49858
55,天照☀,osmovaloper133va8vgy0ygfjmvzy64pgay5w6lg4239nagwnk,osmovalconspub1efeppa8fz2qdh3j75vpcg6m7mdytvwjua0j0g005pqds2qqx646svetj6u,osmo133va8vgy0ygfjmvzy64pgay5w6lg4239f2qdy3,3.0,1211695018.0,52615705514.0,1.0,1.0,0.0,0.0,0.0,0.05,0.2,0.1,1000000.0,49001
56,ping,osmovaloper1jxv0u20scum4trha72c7ltfgfqef6nscqx0u46,osmovalconspub1get43fvyq28kaqren2atgl4wpdxf9f7me33tcz9cngcvj6y4dyuq0qr0ap,osmo1jxv0u20scum4trha72c7ltfgfqef6nsc638lza,0.0,27076000000.0,62412427443.0,1.0,1.0,1.0,0.0,0.0,0.05,0.2,0.1,1.0,49179
57,Chainflow,osmovaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhu6m87mz,osmovalconspub1zte346kraygfgvl3h2dfgccyfr4ux24dnpsh868hazdaa247nvls99zh74,osmo1j0vaeh27t4rll7zhmarwcuq8xtrmvqhuqv0av9,0.0,12483000000.0,223469001994.0,1.0,1.0,1.0,0.0,0.0,0.05,1.0,0.1,1.0,49876
58,ITA Stakers,osmovaloper1juczud9nep06t0khghvm643hf9usw45r3jxhxn,osmovalconspub1vvcrejep62ljn2s2n94cwjhe6y75x3sefkcunvft0ugwz0g5u2pqspfmrn,osmo1juczud9nep06t0khghvm643hf9usw45rt9w535,0.0,8472787434.0,90686580388.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.01,1.0,49872
59,Komikuri,osmovaloper1j7euyj85fv2jugejrktj540emh9353ltnz0lvc,osmovalconspub15fkyvhrl89mynpn6csu3kppj6xpfn64tumalm8h3l35x5x22526qa2lrym,osmo1j7euyj85fv2jugejrktj540emh9353ltf48uml,2.0,10000008.0,177152439923.0,1.0,0.0,0.0,0.0,1.0,0.05,0.2,0.1,1.0,49875
60,SolidStake,osmovaloper1n24z8k7w8lxej8xe7uvpn3qc654n43c05unug6,osmovalconspub1y6lhulk5g5kllzxxtza6pzz6c40vflm5hzkyhk69ye3dkfydpjxq0py78t,osmo1n24z8k7w8lxej8xe7uvpn3qc654n43c0wtmlla,0.0,5187132500.0,102964840708.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.02,1.0,49842
61,0base.vc,osmovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4d3kvts,osmovalconspub1hnwf46ghnc3vsy680pahpk45hq7qsh7ktj0cfv0ajqz5zmmgfw6sra0pk4,osmo1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4hx70uh,5.0,4051000000.0,4638208157513.0,1.0,1.0,1.0,1.0,1.0,0.05,0.2,0.01,1.0,49873
62,binary_holdings,osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,osmovalconspub1n6htagps2asj9zeprkhe9su7rr8ky4falerdyvjcqkz99fcw5rhqetyw9c,osmo15czt5nhlnvayqq37xun9s9yus0d6y26dw9xnzn,0.0,11270071393.0,1129671262304.0,1.0,1.0,1.0,0.0,0.0,0.05,0.5,0.02,800.0,49879
63,Chorus One,osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,osmovalconspub1mc8y5za8e8vcvydqme7duc5aktfw9e0gxzmkpfxfr5egjcs3j5xq8xmkml,osmo15urq2dtp9qce4fyc85m6upwm9xul30495qdm4l,0.0,176264861734.0,1700460191990.0,1.0,1.0,1.0,1.0,1.0,0.075,0.3,0.1,1.0,49811
64,StakeThat,osmovaloper14suzzfw7rkz7uke8w9lhttnvewku7sd06djndg,osmovalconspub19dplcltxt34r0vhk76yh6u7q69rqj7esd3uj70sffftrej5xca2qzhx6kc,osmo14suzzfw7rkz7uke8w9lhttnvewku7sd0q66s60,0.0,34000000.0,51168049578.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.1,1.0,48496
65,Forbole,osmovaloper14kn0kk33szpwus9nh8n87fjel8djx0y0fhtak5,osmovalconspub17xzxgyuxrkkp84654ascygkc9xawp8x4rqnvrpnaeu98076wtt4qyv3j82,osmo14kn0kk33szpwus9nh8n87fjel8djx0y0nqr7pn,1.0,22504555628.0,1032678134676.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,1.0,1.0,49870
66,Little_Cryptoman,osmovaloper14amduhjazqhwtkhm6kutdcy4ux5zazf5k803tq,osmovalconspub1gtn68v7sm7wzkgqcf9f479gtkfgpf5a88phne27yxjfmgdn62nhsr2feee,osmo14amduhjazqhwtkhm6kutdcy4ux5zazf5vs8ju8,3.0,100000000.0,485426257587.0,1.0,1.0,1.0,0.0,1.0,0.05,0.2,0.02,1.0,48548
67,ChainLayer,osmovaloper1kgddca7qj96z0qcxr2c45z73cfl0c75pf37k8l,osmovalconspub120f83w4wvt4n9zs7g309p2cv0tf990eq3kkzd23vszez9z5h2pxqegq44j,osmo1kgddca7qj96z0qcxr2c45z73cfl0c75pnxk4sc,0.0,50610000000.0,277396755095.0,1.0,1.0,1.0,0.0,1.0,0.05,0.1,0.01,1.0,49870
68,Merkan,osmovaloper1kls9ca0h980sqfmt0497jj8kad3lcws6g08mld,osmovalconspub17qlnqhjrr86al60n4v8vfr8vl49lwvxxxfat6spj862fec5aw9ksvqxxxj,osmo1kls9ca0h980sqfmt0497jj8kad3lcws6jc0cg2,0.0,1124453.0,101939433912.0,1.0,0.0,1.0,0.0,1.0,0.05,0.2,0.05,1.0,47037
